id,season,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,city,stage
567,2016,GL,SRH,SRH,field,SRH,0,4,Feroz Shah Kotla,Delhi,Qualifier 2
568,2016,SRH,RCB,SRH,bat,SRH,8,0,M Chinnaswamy Stadium,Bangalore,Final
569,2017,SRH,RCB,RCB,field,SRH,35,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
570,2017,MI,RPS,RPS,field,RPS,0,7,Maharashtra Cricket Association Stadium,Pune,Unknown
571,2017,GL,KKR,KKR,field,KKR,0,10,Saurashtra Cricket Association Stadium,Rajkot,Unknown
572,2017,RPS,PBKS,PBKS,field,PBKS,0,6,Holkar Cricket Stadium,Indore,Unknown
573,2017,RCB,DC,RCB,bat,RCB,15,0,M.Chinnaswamy Stadium,Bengaluru,Unknown
574,2017,GL,SRH,SRH,field,SRH,0,9,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
575,2017,KKR,MI,MI,field,MI,0,4,Wankhede Stadium,Mumbai,Unknown
576,2017,RCB,PBKS,RCB,bat,PBKS,0,8,Holkar Cricket Stadium,Indore,Unknown
577,2017,DC,RPS,RPS,field,DC,97,0,Maharashtra Cricket Association Stadium,Pune,Unknown
578,2017,SRH,MI,MI,field,MI,0,4,Wankhede Stadium,Mumbai,Unknown
579,2017,PBKS,KKR,KKR,field,KKR,0,8,Eden Gardens,Kolkata,Unknown
580,2017,RCB,MI,MI,field,MI,0,4,M Chinnaswamy Stadium,Bangalore,Unknown
581,2017,RPS,GL,GL,field,GL,0,7,Saurashtra Cricket Association Stadium,Rajkot,Unknown
582,2017,KKR,SRH,SRH,field,KKR,17,0,Eden Gardens,Kolkata,Unknown
583,2017,DC,PBKS,DC,bat,DC,51,0,Feroz Shah Kotla,Delhi,Unknown
584,2017,GL,MI,MI,field,MI,0,6,Wankhede Stadium,Mumbai,Unknown
585,2017,RPS,RCB,RCB,field,RPS,27,0,M Chinnaswamy Stadium,Bangalore,Unknown
586,2017,DC,KKR,DC,bat,KKR,0,4,Feroz Shah Kotla,Delhi,Unknown
587,2017,SRH,PBKS,PBKS,field,SRH,5,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
588,2017,RCB,GL,GL,field,RCB,21,0,Saurashtra Cricket Association Stadium,Rajkot,Unknown
589,2017,SRH,DC,SRH,bat,SRH,15,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
590,2017,PBKS,MI,MI,field,MI,0,8,Holkar Cricket Stadium,Indore,Unknown
591,2017,KKR,GL,GL,field,GL,0,4,Eden Gardens,Kolkata,Unknown
592,2017,MI,DC,DC,field,MI,14,0,Wankhede Stadium,Mumbai,Unknown
593,2017,SRH,RPS,RPS,field,RPS,0,6,Maharashtra Cricket Association Stadium,Pune,Unknown
594,2017,PBKS,GL,GL,field,PBKS,26,0,Saurashtra Cricket Association Stadium,Rajkot,Unknown
595,2017,KKR,RCB,RCB,field,KKR,82,0,Eden Gardens,Kolkata,Unknown
596,2017,RPS,MI,MI,field,RPS,3,0,Wankhede Stadium,Mumbai,Unknown
597,2017,RPS,KKR,KKR,field,KKR,0,7,Maharashtra Cricket Association Stadium,Pune,Unknown
598,2017,RCB,GL,GL,field,GL,0,7,M Chinnaswamy Stadium,Bangalore,Unknown
599,2017,DC,KKR,KKR,field,KKR,0,7,Eden Gardens,Kolkata,Unknown
600,2017,SRH,PBKS,PBKS,field,SRH,26,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
601,2017,RPS,RCB,RCB,field,RPS,61,0,Maharashtra Cricket Association Stadium,Pune,Unknown
602,2017,DC,PBKS,PBKS,field,PBKS,0,10,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
603,2017,SRH,KKR,KKR,field,SRH,48,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
604,2017,RCB,MI,RCB,bat,MI,0,5,Wankhede Stadium,Mumbai,Unknown
605,2017,GL,RPS,RPS,field,RPS,0,5,Maharashtra Cricket Association Stadium,Pune,Unknown
606,2017,SRH,DC,DC,field,DC,0,6,Feroz Shah Kotla,Delhi,Unknown
607,2017,KKR,RPS,RPS,field,RPS,0,4,Eden Gardens,Kolkata,Unknown
608,2017,GL,DC,DC,field,DC,0,7,Feroz Shah Kotla,Delhi,Unknown
609,2017,PBKS,RCB,RCB,field,PBKS,19,0,M Chinnaswamy Stadium,Bangalore,Unknown
610,2017,RPS,SRH,SRH,field,RPS,12,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
611,2017,MI,DC,DC,field,MI,146,0,Feroz Shah Kotla,Delhi,Unknown
612,2017,RCB,KKR,KKR,field,KKR,0,6,M Chinnaswamy Stadium,Bangalore,Unknown
613,2017,PBKS,GL,GL,field,GL,0,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
614,2017,MI,SRH,MI,bat,SRH,0,7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
615,2017,PBKS,KKR,KKR,field,PBKS,14,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
616,2017,GL,DC,DC,field,DC,0,2,Green Park,Kanpur,Unknown
617,2017,PBKS,MI,MI,field,PBKS,7,0,Wankhede Stadium,Mumbai,Unknown
618,2017,DC,RPS,DC,bat,DC,7,0,Feroz Shah Kotla,Delhi,Unknown
619,2017,GL,SRH,SRH,field,SRH,0,8,Green Park,Kanpur,Unknown
620,2017,MI,KKR,KKR,field,MI,9,0,Eden Gardens,Kolkata,Unknown
621,2017,PBKS,RPS,RPS,field,RPS,0,9,Maharashtra Cricket Association Stadium,Pune,Unknown
622,2017,RCB,DC,RCB,bat,RCB,10,0,Feroz Shah Kotla,Delhi,Unknown
623,2017,RPS,MI,MI,field,RPS,20,0,Wankhede Stadium,Mumbai,Qualifier 1
624,2017,SRH,KKR,KKR,field,KKR,0,7,M Chinnaswamy Stadium,Bangalore,Eliminator
625,2017,KKR,MI,MI,field,MI,0,6,M Chinnaswamy Stadium,Bangalore,Qualifier 2
626,2017,MI,RPS,MI,bat,MI,1,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Final
627,2018,MI,CSK,CSK,field,CSK,0,1,Wankhede Stadium,Mumbai,Unknown
628,2018,DC,PBKS,PBKS,field,PBKS,0,6,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
629,2018,RCB,KKR,KKR,field,KKR,0,4,Eden Gardens,Kolkata,Unknown
630,2018,RR,SRH,SRH,field,SRH,0,9,Rajiv Gandhi International Stadium,Hyderabad,Unknown
631,2018,KKR,CSK,CSK,field,CSK,0,5,MA Chidambaram Stadium,Chennai,Unknown
632,2018,RR,DC,DC,field,RR,10,0,Sawai Mansingh Stadium,Jaipur,Unknown
633,2018,MI,SRH,SRH,field,SRH,0,1,Rajiv Gandhi International Stadium,Hyderabad,Unknown
634,2018,PBKS,RCB,RCB,field,RCB,0,4,M.Chinnaswamy Stadium,Bengaluru,Unknown
635,2018,MI,DC,DC,field,DC,0,7,Wankhede Stadium,Mumbai,Unknown
636,2018,KKR,SRH,SRH,field,SRH,0,5,Eden Gardens,Kolkata,Unknown
637,2018,RR,RCB,RCB,field,RR,19,0,M.Chinnaswamy Stadium,Bengaluru,Unknown
638,2018,PBKS,CSK,CSK,field,PBKS,4,0,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
639,2018,KKR,DC,DC,field,KKR,71,0,Eden Gardens,Kolkata,Unknown
640,2018,MI,RCB,RCB,field,MI,46,0,Wankhede Stadium,Mumbai,Unknown
641,2018,RR,KKR,KKR,field,KKR,0,7,Sawai Mansingh Stadium,Jaipur,Unknown
642,2018,PBKS,SRH,PBKS,bat,PBKS,15,0,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
643,2018,CSK,RR,RR,field,CSK,64,0,Maharashtra Cricket Association Stadium,Pune,Unknown
644,2018,KKR,PBKS,PBKS,field,PBKS,0,9,Eden Gardens,Kolkata,Unknown
645,2018,DC,RCB,RCB,field,RCB,0,6,M.Chinnaswamy Stadium,Bengaluru,Unknown
646,2018,CSK,SRH,SRH,field,CSK,4,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
647,2018,MI,RR,MI,bat,RR,0,3,Sawai Mansingh Stadium,Jaipur,Unknown
648,2018,PBKS,DC,DC,field,PBKS,4,0,Arun Jaitley Stadium,Delhi,Unknown
649,2018,SRH,MI,MI,field,SRH,31,0,Wankhede Stadium,Mumbai,Unknown
650,2018,RCB,CSK,CSK,field,CSK,0,5,M.Chinnaswamy Stadium,Bengaluru,Unknown
651,2018,SRH,PBKS,PBKS,field,SRH,13,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
652,2018,DC,KKR,KKR,field,DC,55,0,Arun Jaitley Stadium,Delhi,Unknown
653,2018,CSK,MI,MI,field,MI,0,8,Maharashtra Cricket Association Stadium,Pune,Unknown
654,2018,SRH,RR,SRH,bat,SRH,11,0,Sawai Mansingh Stadium,Jaipur,Unknown
655,2018,RCB,KKR,KKR,field,KKR,0,6,M.Chinnaswamy Stadium,Bengaluru,Unknown
656,2018,CSK,DC,DC,field,CSK,13,0,Maharashtra Cricket Association Stadium,Pune,Unknown
657,2018,RCB,MI,MI,field,RCB,14,0,M.Chinnaswamy Stadium,Bengaluru,Unknown
658,2018,DC,RR,RR,field,DC,4,0,Arun Jaitley Stadium,Delhi,Unknown
659,2018,CSK,KKR,KKR,field,KKR,0,6,Eden Gardens,Kolkata,Unknown
660,2018,PBKS,MI,MI,field,MI,0,6,Holkar Cricket Stadium,Indore,Unknown
661,2018,RCB,CSK,CSK,field,CSK,0,6,Maharashtra Cricket Association Stadium,Pune,Unknown
662,2018,DC,SRH,DC,bat,SRH,0,7,Rajiv Gandhi International Stadium,Hyderabad,Unknown
663,2018,MI,KKR,KKR,field,MI,13,0,Wankhede Stadium,Mumbai,Unknown
664,2018,RR,PBKS,PBKS,field,PBKS,0,6,Holkar Cricket Stadium,Indore,Unknown
665,2018,SRH,RCB,RCB,field,SRH,5,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
666,2018,RR,PBKS,RR,bat,RR,15,0,Sawai Mansingh Stadium,Jaipur,Unknown
667,2018,MI,KKR,KKR,field,MI,102,0,Eden Gardens,Kolkata,Unknown
668,2018,DC,SRH,DC,bat,SRH,0,9,Arun Jaitley Stadium,Delhi,Unknown
669,2018,CSK,RR,CSK,bat,RR,0,4,Sawai Mansingh Stadium,Jaipur,Unknown
670,2018,KKR,PBKS,PBKS,field,KKR,31,0,Holkar Cricket Stadium,Indore,Unknown
671,2018,DC,RCB,RCB,field,RCB,0,5,Arun Jaitley Stadium,Delhi,Unknown
672,2018,SRH,CSK,CSK,field,CSK,0,8,Maharashtra Cricket Association Stadium,Pune,Unknown
673,2018,MI,RR,RR,field,RR,0,7,Wankhede Stadium,Mumbai,Unknown
674,2018,PBKS,RCB,RCB,field,RCB,0,10,Holkar Cricket Stadium,Indore,Unknown
675,2018,RR,KKR,KKR,field,KKR,0,6,Eden Gardens,Kolkata,Unknown
676,2018,MI,PBKS,PBKS,field,MI,3,0,Wankhede Stadium,Mumbai,Unknown
677,2018,RCB,SRH,SRH,field,RCB,14,0,M.Chinnaswamy Stadium,Bengaluru,Unknown
678,2018,DC,CSK,CSK,field,DC,34,0,Arun Jaitley Stadium,Delhi,Unknown
679,2018,RR,RCB,RR,bat,RR,30,0,Sawai Mansingh Stadium,Jaipur,Unknown
680,2018,SRH,KKR,SRH,bat,KKR,0,5,Rajiv Gandhi International Stadium,Hyderabad,Unknown
681,2018,DC,MI,DC,bat,DC,11,0,Arun Jaitley Stadium,Delhi,Unknown
682,2018,PBKS,CSK,CSK,field,CSK,0,5,Maharashtra Cricket Association Stadium,Pune,Unknown
683,2018,SRH,CSK,CSK,field,CSK,0,2,Wankhede Stadium,Mumbai,Qualifier 1
684,2018,KKR,RR,RR,field,KKR,25,0,Eden Gardens,Kolkata,Eliminator
685,2018,SRH,KKR,KKR,field,SRH,14,0,Eden Gardens,Kolkata,Qualifier 2
686,2018,SRH,CSK,CSK,field,CSK,0,8,Wankhede Stadium,Mumbai,Final
687,2019,RCB,CSK,CSK,field,CSK,0,7,MA Chidambaram Stadium,Chennai,Unknown
688,2019,SRH,KKR,KKR,field,KKR,0,6,Eden Gardens,Kolkata,Unknown
689,2019,DC,MI,MI,field,DC,37,0,Wankhede Stadium,Mumbai,Unknown
690,2019,PBKS,RR,RR,field,PBKS,14,0,Sawai Mansingh Stadium,Jaipur,Unknown
691,2019,DC,CSK,DC,bat,CSK,0,6,Arun Jaitley Stadium,Delhi,Unknown
692,2019,KKR,PBKS,PBKS,field,KKR,28,0,Eden Gardens,Kolkata,Unknown
693,2019,MI,RCB,RCB,field,MI,6,0,M.Chinnaswamy Stadium,Bengaluru,Unknown
694,2019,RR,SRH,RR,bat,SRH,0,5,Rajiv Gandhi International Stadium,Hyderabad,Unknown
695,2019,MI,PBKS,PBKS,field,PBKS,0,8,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
696,2019,SRH,RCB,RCB,field,SRH,118,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
697,2019,CSK,RR,RR,field,CSK,8,0,MA Chidambaram Stadium,Chennai,Unknown
698,2019,PBKS,DC,DC,field,PBKS,14,0,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
699,2019,RCB,RR,RR,field,RR,0,7,Sawai Mansingh Stadium,Jaipur,Unknown
700,2019,MI,CSK,CSK,field,MI,37,0,Wankhede Stadium,Mumbai,Unknown
701,2019,DC,SRH,SRH,field,SRH,0,5,Arun Jaitley Stadium,Delhi,Unknown
